epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,train/size_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,acc/color,acc/size,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,val/size_loss,lr/pg0,lr/pg1,lr/pg2
24,907.831,26.4174,0.23469,3.30328,2.41583,1.07907,0.48997,0.40486,0.35089,0.31363,0.48997,0.40486,0.35089,0.31363,0.68144,0.68144,0,21.0873,0.11118,2.65156,1.95268,0.77686,0.000247372,0.000247372,0.000247372
25,943.194,26.2091,0.23632,3.27214,2.34875,1.05595,0.50006,0.41035,0.37566,0.34274,0.50006,0.41035,0.37566,0.34274,0.70437,0.70437,0,20.8059,0.10632,2.61074,1.86283,0.72385,0.00024714,0.00024714,0.00024714
26,980.036,25.7802,0.22752,3.21265,2.2718,1.02108,0.52529,0.42954,0.39408,0.36225,0.52529,0.42954,0.39408,0.36225,0.73044,0.73044,0,20.5738,0.10469,2.61562,1.81158,0.7496,0.000246897,0.000246897,0.000246897
27,1016.49,25.6118,0.22631,3.16616,2.17559,1.00796,0.53912,0.4436,0.41374,0.3817,0.53912,0.4436,0.41374,0.3817,0.75548,0.75548,0,20.2056,0.10048,2.52637,1.68531,0.69754,0.000246645,0.000246645,0.000246645
28,1053.61,25.4355,0.22641,3.14152,2.10048,0.99317,0.52624,0.47275,0.44283,0.40599,0.52624,0.47275,0.44283,0.40599,0.75768,0.75768,0,19.9269,0.0991,2.4832,1.59495,0.6814,0.000246384,0.000246384,0.000246384
29,1090.2,25.3207,0.22281,3.11214,2.03066,0.98288,0.5479,0.46044,0.44358,0.41143,0.5479,0.46044,0.44358,0.41143,0.77556,0.77556,0,19.7743,0.09663,2.43633,1.55956,0.67775,0.000246112,0.000246112,0.000246112
30,1125.46,24.6948,0.21144,3.04558,1.92861,0.95624,0.58174,0.4882,0.47133,0.43589,0.58174,0.4882,0.47133,0.43589,0.80214,0.80214,0,19.7217,0.09513,2.43887,1.43192,0.69155,0.000245831,0.000245831,0.000245831
31,1162.42,24.8492,0.2163,3.0129,1.85408,0.94994,0.56753,0.49474,0.47708,0.44093,0.56753,0.49474,0.47708,0.44093,0.82329,0.82329,0,19.2183,0.08967,2.37031,1.39152,0.63641,0.00024554,0.00024554,0.00024554
32,1198.46,24.4237,0.21087,2.97473,1.77866,0.92604,0.6092,0.49161,0.49131,0.45812,0.6092,0.49161,0.49131,0.45812,0.81507,0.81507,0,19.0624,0.08927,2.34023,1.35969,0.65707,0.00024524,0.00024524,0.00024524
33,1235.25,24.2871,0.20852,2.95128,1.76074,0.92296,0.61765,0.49972,0.50669,0.47362,0.61765,0.49972,0.50669,0.47362,0.82085,0.82085,0,18.7329,0.08805,2.3166,1.31165,0.61737,0.00024493,0.00024493,0.00024493
34,1270.1,24.1073,0.20523,2.90884,1.65457,0.90171,0.61918,0.51944,0.52429,0.48872,0.61918,0.51944,0.52429,0.48872,0.84144,0.84144,0,18.8403,0.08523,2.26211,1.23225,0.59616,0.000244611,0.000244611,0.000244611
35,1304.7,24.0127,0.20577,2.8769,1.63229,0.89735,0.60484,0.56445,0.55308,0.51629,0.60484,0.56445,0.55308,0.51629,0.83914,0.83914,0,18.3849,0.08159,2.17041,1.17984,0.56676,0.000244282,0.000244282,0.000244282
36,1340.53,23.7235,0.20015,2.84363,1.58302,0.89044,0.60838,0.52372,0.52881,0.48996,0.60838,0.52372,0.52881,0.48996,0.85799,0.85799,0,19.413,0.0912,2.24688,1.20297,0.63084,0.000243943,0.000243943,0.000243943
37,1376.76,23.3471,0.19502,2.78754,1.53322,0.849,0.62386,0.52785,0.54392,0.51018,0.62386,0.52785,0.54392,0.51018,0.84301,0.84301,0,18.2843,0.08031,2.1791,1.16475,0.57224,0.000243595,0.000243595,0.000243595
38,1410.99,23.4532,0.19573,2.76721,1.49652,0.8499,0.65116,0.57544,0.58371,0.54376,0.65116,0.57544,0.58371,0.54376,0.85212,0.85212,0,17.9809,0.07652,2.15244,1.11347,0.57465,0.000243238,0.000243238,0.000243238
39,1447.22,23.3319,0.1973,2.75138,1.49016,0.84167,0.6728,0.55649,0.58247,0.54518,0.6728,0.55649,0.58247,0.54518,0.87739,0.87739,0,17.8866,0.0765,2.07949,1.02313,0.53724,0.000242871,0.000242871,0.000242871
40,1483.78,23.0253,0.19034,2.67749,1.41274,0.8133,0.66167,0.57792,0.593,0.55766,0.66167,0.57792,0.593,0.55766,0.87642,0.87642,0,17.7422,0.07329,2.09395,1.02709,0.5611,0.000242495,0.000242495,0.000242495
41,1520.08,22.7732,0.18465,2.66498,1.3914,0.80411,0.66245,0.56621,0.59361,0.55542,0.66245,0.56621,0.59361,0.55542,0.86955,0.86955,0,17.9413,0.07458,2.04258,1.00233,0.53879,0.000242109,0.000242109,0.000242109
42,1554.92,22.6895,0.1862,2.65575,1.39449,0.80853,0.65848,0.58709,0.60128,0.56215,0.65848,0.58709,0.60128,0.56215,0.87576,0.87576,0,17.6829,0.07286,2.02852,1.02031,0.54566,0.000241714,0.000241714,0.000241714
43,1589.04,22.6625,0.18604,2.6209,1.34547,0.80269,0.67065,0.59651,0.62071,0.58612,0.67065,0.59651,0.62071,0.58612,0.87846,0.87846,0,17.3578,0.07142,2.01289,0.97414,0.50889,0.00024131,0.00024131,0.00024131
44,1625.15,22.5105,0.18711,2.59735,1.32486,0.78458,0.66659,0.60939,0.61199,0.57356,0.66659,0.60939,0.61199,0.57356,0.86672,0.86672,0,17.1791,0.06876,1.95713,1.0015,0.49853,0.000240896,0.000240896,0.000240896
45,1660.43,22.1479,0.17624,2.56166,1.30254,0.7762,0.68999,0.61188,0.63508,0.59812,0.68999,0.61188,0.63508,0.59812,0.89715,0.89715,0,17.1064,0.06798,1.9082,0.88771,0.48925,0.000240474,0.000240474,0.000240474
46,1694.85,22.1904,0.18281,2.54157,1.29211,0.77108,0.72043,0.60629,0.64561,0.61047,0.72043,0.60629,0.64561,0.61047,0.89319,0.89319,0,16.8905,0.06622,1.90039,0.89199,0.51474,0.000240042,0.000240042,0.000240042
47,1730.53,22.0656,0.17887,2.51582,1.25478,0.75708,0.72105,0.63099,0.64826,0.60864,0.72105,0.63099,0.64826,0.60864,0.89315,0.89315,0,16.8924,0.06576,1.8373,0.83464,0.47167,0.0002396,0.0002396,0.0002396
48,1763.74,22.1096,0.17875,2.50398,1.2418,0.75745,0.68727,0.64175,0.65586,0.61424,0.68727,0.64175,0.65586,0.61424,0.90335,0.90335,0,16.5715,0.06439,1.8333,0.84188,0.45999,0.00023915,0.00023915,0.00023915
49,1797.94,21.8208,0.17433,2.4656,1.21568,0.73319,0.70577,0.63072,0.65772,0.61884,0.70577,0.63072,0.65772,0.61884,0.89305,0.89305,0,16.7062,0.06536,1.82881,0.85278,0.46542,0.000238691,0.000238691,0.000238691
50,1832.94,21.8655,0.17242,2.46705,1.22363,0.74414,0.70809,0.63774,0.66088,0.62417,0.70809,0.63774,0.66088,0.62417,0.9107,0.9107,0,16.4187,0.06199,1.82881,0.78695,0.45945,0.000238222,0.000238222,0.000238222
51,1869.99,21.5857,0.16929,2.43586,1.18646,0.72808,0.69086,0.65303,0.67213,0.63438,0.69086,0.65303,0.67213,0.63438,0.91228,0.91228,0,16.5805,0.06306,1.77783,0.80911,0.43823,0.000237745,0.000237745,0.000237745
52,1905.77,21.4324,0.16885,2.38759,1.16556,0.70987,0.70017,0.63648,0.66071,0.62344,0.70017,0.63648,0.66071,0.62344,0.90393,0.90393,0,16.3748,0.0611,1.78447,0.8025,0.45265,0.000237258,0.000237258,0.000237258
53,1942.81,21.373,0.16612,2.38246,1.15431,0.70512,0.73117,0.65122,0.68436,0.64652,0.73117,0.65122,0.68436,0.64652,0.91024,0.91024,0,16.149,0.05905,1.73086,0.77501,0.43918,0.000236763,0.000236763,0.000236763
54,1979.22,21.2571,0.16527,2.36382,1.13915,0.70328,0.72973,0.65354,0.67784,0.64239,0.72973,0.65354,0.67784,0.64239,0.90844,0.90844,0,16.1372,0.05954,1.75156,0.80969,0.44806,0.000236259,0.000236259,0.000236259
55,2014.38,21.0489,0.16242,2.33923,1.12407,0.7001,0.74776,0.65094,0.68954,0.6528,0.74776,0.65094,0.68954,0.6528,0.91373,0.91373,0,16.1479,0.06034,1.73008,0.77379,0.45284,0.000235746,0.000235746,0.000235746
56,2048.83,21.0298,0.16108,2.33131,1.11909,0.68655,0.73738,0.66196,0.6994,0.66023,0.73738,0.66196,0.6994,0.66023,0.91263,0.91263,0,15.9673,0.05598,1.67061,0.73533,0.40843,0.000235224,0.000235224,0.000235224
57,2084.63,20.9169,0.15999,2.30447,1.10775,0.68678,0.73072,0.66511,0.70888,0.67197,0.73072,0.66511,0.70888,0.67197,0.91688,0.91688,0,15.9362,0.05736,1.64814,0.72912,0.40448,0.000234693,0.000234693,0.000234693
58,2119.94,20.8306,0.15799,2.28865,1.08291,0.68447,0.73273,0.6874,0.71548,0.68051,0.73273,0.6874,0.71548,0.68051,0.91477,0.91477,0,15.7031,0.05582,1.6291,0.70928,0.4028,0.000234153,0.000234153,0.000234153
59,2154.56,20.8461,0.16284,2.29214,1.0827,0.68918,0.73816,0.68088,0.71756,0.68368,0.73816,0.68088,0.71756,0.68368,0.92631,0.92631,0,15.6972,0.05507,1.64277,0.71838,0.4079,0.000233605,0.000233605,0.000233605
60,2189.8,20.5676,0.15495,2.24101,1.06479,0.66585,0.74771,0.67122,0.71914,0.68407,0.74771,0.67122,0.71914,0.68407,0.92412,0.92412,0,15.5877,0.05467,1.61143,0.69736,0.40302,0.000233048,0.000233048,0.000233048
61,2223.95,20.5253,0.15522,2.24709,1.05646,0.67025,0.75004,0.66709,0.7078,0.67314,0.75004,0.66709,0.7078,0.67314,0.93263,0.93263,0,15.577,0.05465,1.6252,0.68034,0.39432,0.000232483,0.000232483,0.000232483
