epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,train/size_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,acc/color,acc/size,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,val/size_loss,lr/pg0,lr/pg1,lr/pg2
11,443.578,34.0906,0.35425,4.21428,3.02305,1.57132,0.35167,0.20505,0.15339,0.13154,0.35167,0.20505,0.15339,0.13154,0.5781,0.5781,0,27.6373,0.18791,3.61855,2.65911,1.28727,0.000249193,0.000249193,0.000249193
12,480.929,32.8512,0.3327,4.10398,2.95525,1.51069,0.41635,0.21329,0.16067,0.14006,0.41635,0.21329,0.16067,0.14006,0.59234,0.59234,0,26.1258,0.17222,3.49277,2.50402,1.1497,0.000249024,0.000249024,0.000249024
13,517.428,32.1212,0.32376,4.02811,2.90813,1.46342,0.44058,0.22734,0.18027,0.15828,0.44058,0.22734,0.18027,0.15828,0.58992,0.58992,0,25.2966,0.16275,3.4791,2.48898,1.17077,0.000248839,0.000248839,0.000248839
14,553.659,31.4197,0.31464,3.98551,2.87485,1.43942,0.42382,0.25208,0.20209,0.1761,0.42382,0.25208,0.20209,0.1761,0.57998,0.57998,0,25.1988,0.15847,3.27891,2.41171,1.05201,0.000248638,0.000248638,0.000248638
15,589.811,30.5832,0.29968,3.87513,2.83609,1.37251,0.44131,0.25324,0.20604,0.18265,0.44131,0.25324,0.20604,0.18265,0.56576,0.56576,0,23.9505,0.14723,3.24395,2.44344,1.04199,0.000248421,0.000248421,0.000248421
16,625.371,30.1306,0.29641,3.83224,2.80365,1.36451,0.48129,0.26217,0.21793,0.1913,0.48129,0.26217,0.21793,0.1913,0.58714,0.58714,0,23.9033,0.1443,3.16777,2.38969,1.02751,0.000248188,0.000248188,0.000248188
17,662.763,29.4789,0.28315,3.76405,2.76677,1.3235,0.46397,0.2792,0.2337,0.2082,0.46397,0.2792,0.2337,0.2082,0.60006,0.60006,0,23.0203,0.13564,3.03633,2.29198,0.91857,0.000247939,0.000247939,0.000247939
18,698.138,28.7398,0.27383,3.69223,2.72695,1.2747,0.45191,0.29209,0.24082,0.21333,0.45191,0.29209,0.24082,0.21333,0.60558,0.60558,0,22.6082,0.12895,3.07012,2.2853,0.99884,0.000247674,0.000247674,0.000247674
19,732.14,28.3626,0.26711,3.64147,2.68889,1.24419,0.46069,0.32125,0.26448,0.2352,0.46069,0.32125,0.26448,0.2352,0.60432,0.60432,0,22.3857,0.1259,2.93477,2.22643,0.87524,0.000247393,0.000247393,0.000247393
20,765.407,28.2143,0.26768,3.57568,2.65949,1.22873,0.45289,0.31878,0.29236,0.26591,0.45289,0.31878,0.29236,0.26591,0.59017,0.59017,0,22.1618,0.12429,3.06562,2.36314,0.99345,0.000247096,0.000247096,0.000247096
21,800.26,27.4769,0.2586,3.53575,2.63324,1.20473,0.48328,0.34719,0.31636,0.28748,0.48328,0.34719,0.31636,0.28748,0.61903,0.61903,0,21.4616,0.11613,2.83379,2.17812,0.8227,0.000246784,0.000246784,0.000246784
22,836.888,27.072,0.25054,3.48721,2.5966,1.15256,0.49927,0.35972,0.33451,0.30347,0.49927,0.35972,0.33451,0.30347,0.64672,0.64672,0,21.4286,0.11618,2.83945,2.15066,0.80686,0.000246456,0.000246456,0.000246456
23,873.021,26.839,0.2455,3.42284,2.56338,1.14601,0.51239,0.38106,0.35027,0.32079,0.51239,0.38106,0.35027,0.32079,0.62207,0.62207,0,20.9303,0.11189,2.71016,2.15545,0.79557,0.000246112,0.000246112,0.000246112
24,906.671,26.3804,0.23761,3.3659,2.51901,1.12323,0.53713,0.38365,0.36658,0.33498,0.53713,0.38365,0.36658,0.33498,0.65518,0.65518,0,20.6196,0.10747,2.69316,2.05616,0.77709,0.000245753,0.000245753,0.000245753
25,942.333,26.3224,0.2403,3.34172,2.49604,1.10423,0.53715,0.40457,0.39214,0.36239,0.53715,0.40457,0.39214,0.36239,0.65787,0.65787,0,20.3637,0.10637,2.67129,2.06876,0.75246,0.000245378,0.000245378,0.000245378
26,979.252,25.8178,0.22998,3.283,2.45773,1.06969,0.52848,0.41768,0.3981,0.36588,0.52848,0.41768,0.3981,0.36588,0.67303,0.67303,0,20.1857,0.10449,2.60078,2.03305,0.76889,0.000244987,0.000244987,0.000244987
27,1017.01,25.6469,0.22828,3.23847,2.42466,1.05787,0.55962,0.3873,0.37215,0.34279,0.55962,0.3873,0.37215,0.34279,0.67186,0.67186,0,20.4909,0.10892,2.9082,2.21896,1.00927,0.000244581,0.000244581,0.000244581
28,1053.31,25.4389,0.22814,3.20195,2.39143,1.04166,0.53881,0.45213,0.42574,0.39356,0.53881,0.45213,0.42574,0.39356,0.67438,0.67438,0,19.8121,0.1004,2.51816,1.94957,0.68418,0.00024416,0.00024416,0.00024416
29,1088.09,25.3423,0.22516,3.17589,2.35982,1.02514,0.5737,0.44337,0.44013,0.41147,0.5737,0.44337,0.44013,0.41147,0.6858,0.6858,0,19.4372,0.0974,2.48125,1.91324,0.71067,0.000243723,0.000243723,0.000243723
30,1124.12,24.6148,0.21266,3.10017,2.29995,0.99374,0.59228,0.46644,0.46095,0.42807,0.59228,0.46644,0.46095,0.42807,0.69645,0.69645,0,19.1953,0.09513,2.38906,1.86104,0.6523,0.000243271,0.000243271,0.000243271
31,1159.54,24.8025,0.21841,3.08249,2.26932,0.98229,0.55916,0.48489,0.45889,0.42749,0.55916,0.48489,0.45889,0.42749,0.72393,0.72393,0,19.0317,0.09243,2.3668,1.78704,0.64433,0.000242803,0.000242803,0.000242803
32,1195.98,24.4432,0.21324,3.05787,2.22661,0.96847,0.58395,0.50296,0.49016,0.45618,0.58395,0.50296,0.49016,0.45618,0.71415,0.71415,0,18.7672,0.08927,2.3291,1.72887,0.61106,0.000242321,0.000242321,0.000242321
33,1231.08,24.277,0.21143,3.01287,2.19822,0.96203,0.59685,0.49053,0.48889,0.45686,0.59685,0.49053,0.48889,0.45686,0.74397,0.74397,0,18.5268,0.08757,2.39707,1.72019,0.68377,0.000241823,0.000241823,0.000241823
34,1268.71,24.0478,0.20613,2.99025,2.13543,0.94219,0.57173,0.49388,0.4773,0.44329,0.57173,0.49388,0.4773,0.44329,0.75073,0.75073,0,18.6271,0.0868,2.33574,1.65535,0.63396,0.00024131,0.00024131,0.00024131
35,1302.45,24.0084,0.20769,2.96949,2.08964,0.93926,0.59317,0.50326,0.50471,0.46633,0.59317,0.50326,0.50471,0.46633,0.71886,0.71886,0,18.4072,0.08685,2.27051,1.73298,0.61181,0.000240782,0.000240782,0.000240782
36,1338.51,23.7628,0.20223,2.92562,2.04417,0.92912,0.60706,0.51539,0.51241,0.47466,0.60706,0.51539,0.51241,0.47466,0.76963,0.76963,0,18.2836,0.0842,2.24121,1.54608,0.63061,0.000240239,0.000240239,0.000240239
37,1373.94,23.3167,0.19662,2.88038,1.98437,0.88454,0.61527,0.52124,0.51233,0.47964,0.61527,0.52124,0.51233,0.47964,0.77164,0.77164,0,18.1154,0.0825,2.2041,1.52009,0.58761,0.000239681,0.000239681,0.000239681
38,1409.03,23.4669,0.19648,2.86127,1.94777,0.8864,0.63782,0.50621,0.52645,0.49207,0.63782,0.50621,0.52645,0.49207,0.78807,0.78807,0,18.0774,0.08177,2.25195,1.47367,0.60636,0.000239109,0.000239109,0.000239109
39,1444.49,23.2774,0.19929,2.83489,1.92057,0.87723,0.60521,0.54641,0.53956,0.5009,0.60521,0.54641,0.53956,0.5009,0.79356,0.79356,0,17.7771,0.0771,2.16191,1.44166,0.56293,0.000238521,0.000238521,0.000238521
40,1481.59,23.0888,0.19338,2.77244,1.86079,0.85808,0.61849,0.5404,0.53932,0.5016,0.61849,0.5404,0.53932,0.5016,0.80012,0.80012,0,17.6737,0.0775,2.20449,1.43466,0.6284,0.00023792,0.00023792,0.00023792
41,1517.22,22.8217,0.18627,2.75786,1.80105,0.83628,0.60968,0.54166,0.5294,0.49331,0.60968,0.54166,0.5294,0.49331,0.82097,0.82097,0,17.6994,0.07659,2.24854,1.35364,0.60685,0.000237303,0.000237303,0.000237303
42,1551.51,22.7422,0.18917,2.77252,1.80588,0.85017,0.64646,0.55682,0.56826,0.52935,0.64646,0.55682,0.56826,0.52935,0.8238,0.8238,0,17.217,0.0722,2.04824,1.25905,0.51347,0.000236672,0.000236672,0.000236672
43,1585.18,22.6688,0.18712,2.73945,1.74479,0.84098,0.58038,0.58164,0.552,0.51795,0.58038,0.58164,0.552,0.51795,0.82477,0.82477,0,17.1385,0.072,2.06963,1.22917,0.52125,0.000236027,0.000236027,0.000236027
44,1619.46,22.6788,0.19126,2.71639,1.72848,0.83317,0.66338,0.5746,0.57051,0.53177,0.66338,0.5746,0.57051,0.53177,0.84452,0.84452,0,17.268,0.07199,2.04277,1.17299,0.52279,0.000235367,0.000235367,0.000235367
45,1653.38,22.2613,0.1804,2.68143,1.66462,0.81972,0.65786,0.59056,0.58923,0.55226,0.65786,0.59056,0.58923,0.55226,0.84736,0.84736,0,16.9826,0.06912,2.02744,1.16534,0.51833,0.000234693,0.000234693,0.000234693
46,1688.43,22.3738,0.18767,2.65405,1.65871,0.8057,0.62773,0.56763,0.55868,0.52365,0.62773,0.56763,0.55868,0.52365,0.85422,0.85422,0,17.5056,0.07357,2.13945,1.1913,0.61091,0.000234005,0.000234005,0.000234005
47,1722.65,22.1639,0.18187,2.63447,1.60421,0.8049,0.66764,0.62182,0.61505,0.57831,0.66764,0.62182,0.61505,0.57831,0.86616,0.86616,0,16.6216,0.06523,1.91094,1.06693,0.48774,0.000233303,0.000233303,0.000233303
48,1759.26,22.2425,0.18253,2.63043,1.58354,0.81177,0.6888,0.58695,0.60103,0.56487,0.6888,0.58695,0.60103,0.56487,0.87302,0.87302,0,16.4607,0.06564,1.95674,1.04187,0.50442,0.000232586,0.000232586,0.000232586
49,1795.17,21.968,0.17722,2.59517,1.54263,0.77447,0.66697,0.62112,0.62168,0.58444,0.66697,0.62112,0.62168,0.58444,0.88213,0.88213,0,16.3768,0.06422,1.86553,0.99603,0.45398,0.000231856,0.000231856,0.000231856
50,1830.1,21.8884,0.17522,2.58801,1.49983,0.78107,0.69634,0.59905,0.61246,0.5757,0.69634,0.59905,0.61246,0.5757,0.87993,0.87993,0,16.6621,0.06815,1.93496,1.0091,0.52612,0.000231113,0.000231113,0.000231113
51,1864.27,21.7182,0.17259,2.56321,1.4875,0.77583,0.70682,0.62553,0.63364,0.59816,0.70682,0.62553,0.63364,0.59816,0.88939,0.88939,0,16.1456,0.06216,1.86621,0.95311,0.4646,0.000230355,0.000230355,0.000230355
52,1899.25,21.5993,0.17478,2.51591,1.44629,0.75595,0.68269,0.62584,0.62948,0.59301,0.68269,0.62584,0.62948,0.59301,0.89262,0.89262,0,16.1842,0.06297,1.81758,0.88735,0.44387,0.000229584,0.000229584,0.000229584
53,1934.49,21.4943,0.16918,2.51305,1.40793,0.7509,0.71834,0.61668,0.63026,0.59599,0.71834,0.61668,0.63026,0.59599,0.89597,0.89597,0,16.0934,0.06074,1.81953,0.90474,0.45788,0.000228799,0.000228799,0.000228799
54,1969.47,21.4514,0.16979,2.49047,1.3999,0.7542,0.6936,0.64323,0.64384,0.60834,0.6936,0.64323,0.64384,0.60834,0.90068,0.90068,0,16.0352,0.05916,1.79043,0.87215,0.43742,0.000228002,0.000228002,0.000228002
55,2005.07,21.1645,0.16612,2.459,1.34247,0.74458,0.6999,0.63448,0.64363,0.60784,0.6999,0.63448,0.64363,0.60784,0.89504,0.89504,0,15.8969,0.05964,1.80176,0.85674,0.44376,0.00022719,0.00022719,0.00022719
56,2040.31,21.1573,0.1654,2.46947,1.3406,0.73217,0.68708,0.64139,0.64442,0.60882,0.68708,0.64139,0.64442,0.60882,0.90575,0.90575,0,15.9393,0.05993,1.77285,0.83031,0.42654,0.000226366,0.000226366,0.000226366
57,2074.05,21.0488,0.16277,2.43251,1.32296,0.72345,0.70535,0.64407,0.64963,0.61468,0.70535,0.64407,0.64963,0.61468,0.90472,0.90472,0,15.8209,0.05869,1.77842,0.84684,0.44012,0.000225528,0.000225528,0.000225528
58,2108.07,21.0332,0.16208,2.4335,1.29188,0.73028,0.7178,0.65507,0.66766,0.63214,0.7178,0.65507,0.66766,0.63214,0.90264,0.90264,0,15.6223,0.05721,1.76299,0.82559,0.4317,0.000224678,0.000224678,0.000224678
59,2143.19,20.8619,0.16464,2.41756,1.28337,0.72217,0.73459,0.66105,0.67746,0.64419,0.73459,0.66105,0.67746,0.64419,0.90529,0.90529,0,15.5112,0.05566,1.71318,0.80789,0.41409,0.000223815,0.000223815,0.000223815
60,2178.27,20.7481,0.15843,2.37559,1.25806,0.7124,0.71776,0.6579,0.67532,0.63858,0.71776,0.6579,0.67532,0.63858,0.90708,0.90708,0,15.4854,0.05534,1.68301,0.80252,0.4015,0.000222939,0.000222939,0.000222939
61,2212.02,20.6667,0.15752,2.36881,1.23911,0.70937,0.72554,0.6693,0.68428,0.64784,0.72554,0.6693,0.68428,0.64784,0.92263,0.92263,0,15.5721,0.05511,1.68066,0.75207,0.40097,0.00022205,0.00022205,0.00022205
62,2245.72,20.6819,0.16054,2.37917,1.26015,0.71586,0.72274,0.67138,0.67922,0.64218,0.72274,0.67138,0.67922,0.64218,0.91923,0.91923,0,15.3742,0.05492,1.64932,0.75148,0.40507,0.000221149,0.000221149,0.000221149
63,2280.16,20.7193,0.1614,2.35655,1.21616,0.70094,0.73549,0.66366,0.68374,0.64878,0.73549,0.66366,0.68374,0.64878,0.91521,0.91521,0,15.2864,0.05367,1.64365,0.72391,0.39867,0.000220235,0.000220235,0.000220235
64,2315.92,20.557,0.15436,2.33559,1.19844,0.69309,0.73681,0.67582,0.69361,0.65934,0.73681,0.67582,0.69361,0.65934,0.91863,0.91863,0,15.2791,0.05377,1.63809,0.71783,0.3939,0.00021931,0.00021931,0.00021931
65,2351.22,20.3787,0.15275,2.31104,1.17484,0.67878,0.7377,0.67366,0.69803,0.66397,0.7377,0.67366,0.69803,0.66397,0.92945,0.92945,0,15.1114,0.05209,1.60967,0.69568,0.38426,0.000218372,0.000218372,0.000218372
66,2384.43,20.3359,0.1533,2.30809,1.17231,0.69177,0.74905,0.67885,0.71153,0.675,0.74905,0.67885,0.71153,0.675,0.92094,0.92094,0,15.0624,0.05136,1.59766,0.69028,0.36981,0.000217422,0.000217422,0.000217422
67,2419.44,20.3827,0.15807,2.28413,1.14993,0.67906,0.75385,0.6904,0.71379,0.67944,0.75385,0.6904,0.71379,0.67944,0.93012,0.93012,0,15.0015,0.05044,1.6043,0.68445,0.38016,0.00021646,0.00021646,0.00021646
68,2455.44,20.2702,0.15144,2.28761,1.13467,0.67429,0.75457,0.69209,0.72264,0.68737,0.75457,0.69209,0.72264,0.68737,0.93016,0.93016,0,14.9899,0.05146,1.59932,0.68376,0.38096,0.000215486,0.000215486,0.000215486
69,2490.84,20.3597,0.15624,2.24306,1.1152,0.65829,0.7577,0.68532,0.71916,0.68634,0.7577,0.68532,0.71916,0.68634,0.92941,0.92941,0,14.9163,0.05059,1.56592,0.64606,0.37443,0.000214501,0.000214501,0.000214501
70,2526.33,19.886,0.14588,2.25441,1.11338,0.65754,0.75621,0.68499,0.71646,0.68182,0.75621,0.68499,0.71646,0.68182,0.9251,0.9251,0,14.9424,0.05042,1.60566,0.70734,0.38303,0.000213504,0.000213504,0.000213504
71,2559.69,20.0231,0.14709,2.237,1.08717,0.65387,0.73914,0.69922,0.72202,0.68807,0.73914,0.69922,0.72202,0.68807,0.93422,0.93422,0,14.7501,0.04899,1.53799,0.62898,0.36241,0.000212496,0.000212496,0.000212496
72,2595.28,19.8874,0.15,2.21208,1.09675,0.64889,0.74679,0.69846,0.72293,0.69016,0.74679,0.69846,0.72293,0.69016,0.93366,0.93366,0,14.8798,0.04987,1.55303,0.65087,0.366,0.000211477,0.000211477,0.000211477
73,2630.37,19.7708,0.15017,2.22486,1.06531,0.6541,0.7697,0.69405,0.73683,0.70544,0.7697,0.69405,0.73683,0.70544,0.93246,0.93246,0,14.6771,0.04851,1.53506,0.62929,0.35324,0.000210446,0.000210446,0.000210446
74,2663.19,19.7305,0.14815,2.19793,1.06971,0.64844,0.77598,0.70876,0.7404,0.70747,0.77598,0.70876,0.7404,0.70747,0.93545,0.93545,0,14.5982,0.04731,1.51025,0.6238,0.35358,0.000209405,0.000209405,0.000209405
75,2696.66,19.7926,0.14819,2.18825,1.04318,0.63891,0.77814,0.71462,0.74843,0.71649,0.77814,0.71462,0.74843,0.71649,0.93306,0.93306,0,14.5746,0.04738,1.49736,0.61392,0.34338,0.000208352,0.000208352,0.000208352
76,2731.61,19.6745,0.14546,2.17406,1.05597,0.6361,0.76533,0.70119,0.73338,0.70215,0.76533,0.70119,0.73338,0.70215,0.93744,0.93744,0,14.577,0.04689,1.53838,0.62228,0.36003,0.000207289,0.000207289,0.000207289
77,2764.47,19.4101,0.14228,2.15699,1.03616,0.62514,0.76555,0.71132,0.74372,0.71461,0.76555,0.71132,0.74372,0.71461,0.93682,0.93682,0,14.5837,0.04659,1.50996,0.60883,0.35479,0.000206215,0.000206215,0.000206215
78,2799.51,19.5166,0.14554,2.14615,1.04501,0.63219,0.77285,0.71672,0.74698,0.71542,0.77285,0.71672,0.74698,0.71542,0.94446,0.94446,0,14.5073,0.04666,1.46816,0.59562,0.34358,0.000205131,0.000205131,0.000205131
79,2834.96,19.4449,0.14056,2.14781,1.01915,0.61752,0.74755,0.72928,0.74929,0.71689,0.74755,0.72928,0.74929,0.71689,0.93737,0.93737,0,14.3619,0.04551,1.47354,0.60509,0.34967,0.000204037,0.000204037,0.000204037
80,2870.45,19.5012,0.14209,2.14038,1.01378,0.62073,0.76664,0.72155,0.74611,0.71346,0.76664,0.72155,0.74611,0.71346,0.94098,0.94098,0,14.4013,0.04514,1.48848,0.59467,0.3523,0.000202932,0.000202932,0.000202932
81,2905.66,19.3309,0.14283,2.12464,1.01058,0.61972,0.78098,0.70901,0.75158,0.72101,0.78098,0.70901,0.75158,0.72101,0.94518,0.94518,0,14.3381,0.04529,1.45576,0.57961,0.33268,0.000201818,0.000201818,0.000201818
82,2940.5,19.2838,0.14155,2.11443,0.99647,0.60312,0.78617,0.72597,0.76755,0.73631,0.78617,0.72597,0.76755,0.73631,0.94208,0.94208,0,14.1629,0.0441,1.44795,0.58257,0.33362,0.000200693,0.000200693,0.000200693
83,2975.56,19.3569,0.14206,2.10352,0.99717,0.61081,0.7928,0.73054,0.76924,0.73911,0.7928,0.73054,0.76924,0.73911,0.94257,0.94257,0,14.2063,0.0438,1.42451,0.57188,0.31791,0.000199559,0.000199559,0.000199559
84,3009.67,19.1255,0.13755,2.10262,0.97515,0.60512,0.79192,0.71025,0.75683,0.72778,0.79192,0.71025,0.75683,0.72778,0.9435,0.9435,0,14.1599,0.04302,1.446,0.57064,0.33914,0.000198415,0.000198415,0.000198415
85,3043.3,19.0532,0.13843,2.08145,0.98491,0.60725,0.78303,0.71981,0.76456,0.73485,0.78303,0.71981,0.76456,0.73485,0.94839,0.94839,0,14.1447,0.04371,1.40693,0.5544,0.3188,0.000197262,0.000197262,0.000197262
86,3077.39,19.1425,0.14043,2.08784,0.96115,0.59961,0.78502,0.72767,0.76303,0.73303,0.78502,0.72767,0.76303,0.73303,0.94396,0.94396,0,14.1907,0.0444,1.41279,0.57153,0.32918,0.0001961,0.0001961,0.0001961
87,3112.09,19.1419,0.13518,2.06591,0.96375,0.60113,0.77567,0.73658,0.76936,0.7379,0.77567,0.73658,0.76936,0.7379,0.94571,0.94571,0,14.0953,0.0428,1.42676,0.55048,0.33559,0.000194928,0.000194928,0.000194928
88,3146.43,18.9602,0.13648,2.05198,0.97006,0.59643,0.79602,0.72438,0.77604,0.74572,0.79602,0.72438,0.77604,0.74572,0.94556,0.94556,0,13.9673,0.04255,1.41387,0.55129,0.32645,0.000193748,0.000193748,0.000193748
89,3179.55,18.8618,0.13344,2.04562,0.94875,0.59442,0.78252,0.73769,0.77855,0.74844,0.78252,0.73769,0.77855,0.74844,0.94772,0.94772,0,13.9274,0.04229,1.38594,0.54113,0.31751,0.000192559,0.000192559,0.000192559
90,3214.72,19.0099,0.13586,2.0596,0.95021,0.58908,0.79216,0.73807,0.7734,0.74497,0.79216,0.73807,0.7734,0.74497,0.95149,0.95149,0,13.9337,0.04163,1.38281,0.53664,0.32405,0.000191361,0.000191361,0.000191361
91,3249.59,18.8721,0.13683,2.04281,0.93456,0.58926,0.78114,0.7343,0.77092,0.74157,0.78114,0.7343,0.77092,0.74157,0.94759,0.94759,0,13.9456,0.04183,1.38975,0.5335,0.31559,0.000190154,0.000190154,0.000190154
92,3283.01,18.9269,0.1364,2.0483,0.93878,0.58742,0.78059,0.76181,0.78697,0.75852,0.78059,0.76181,0.78697,0.75852,0.94434,0.94434,0,13.8245,0.04161,1.35566,0.53957,0.30963,0.000188939,0.000188939,0.000188939
93,3315.81,18.855,0.13612,2.03824,0.93142,0.586,0.78381,0.75655,0.78676,0.7582,0.78381,0.75655,0.78676,0.7582,0.94614,0.94614,0,13.79,0.04122,1.34951,0.52659,0.30853,0.000187716,0.000187716,0.000187716
94,3350.92,18.6545,0.13146,2.00862,0.91197,0.57915,0.79728,0.73344,0.77421,0.74693,0.79728,0.73344,0.77421,0.74693,0.94991,0.94991,0,13.7896,0.04096,1.36025,0.52297,0.30987,0.000186485,0.000186485,0.000186485
95,3385.1,18.6776,0.13212,2.01145,0.91348,0.56472,0.78712,0.75401,0.78089,0.7541,0.78712,0.75401,0.78089,0.7541,0.94822,0.94822,0,13.7425,0.04034,1.33491,0.5181,0.30118,0.000185247,0.000185247,0.000185247
96,3419.74,18.5846,0.13162,2.01115,0.90943,0.57619,0.79565,0.73755,0.77685,0.74838,0.79565,0.73755,0.77685,0.74838,0.94934,0.94934,0,13.7425,0.03988,1.33481,0.51653,0.30414,0.000184,0.000184,0.000184
97,3454.97,18.5941,0.12915,1.9803,0.90643,0.5677,0.78489,0.74772,0.78226,0.75344,0.78489,0.74772,0.78226,0.75344,0.94899,0.94899,0,13.674,0.04009,1.34526,0.5083,0.30671,0.000182746,0.000182746,0.000182746
98,3489.17,18.4972,0.13286,1.98707,0.90214,0.57028,0.78996,0.75522,0.78673,0.75787,0.78996,0.75522,0.78673,0.75787,0.94988,0.94988,0,13.64,0.04012,1.33555,0.51751,0.31052,0.000181485,0.000181485,0.000181485
99,3521.98,18.4831,0.13305,1.98596,0.89353,0.56805,0.81281,0.73364,0.78774,0.75905,0.81281,0.73364,0.78774,0.75905,0.95077,0.95077,0,13.6659,0.03996,1.32183,0.50502,0.30155,0.000180216,0.000180216,0.000180216
100,3556.58,18.362,0.12859,1.96821,0.88088,0.55983,0.79902,0.74766,0.79165,0.76304,0.79902,0.74766,0.79165,0.76304,0.95502,0.95502,0,13.5741,0.03935,1.30913,0.50084,0.29631,0.00017894,0.00017894,0.00017894
101,3591.65,18.2542,0.12539,1.94525,0.86757,0.55638,0.80322,0.74289,0.78965,0.76185,0.80322,0.74289,0.78965,0.76185,0.95149,0.95149,0,13.5704,0.03945,1.30742,0.49493,0.29939,0.000177658,0.000177658,0.000177658
102,3624.48,18.4626,0.12981,1.95376,0.87623,0.55733,0.81139,0.74003,0.79229,0.76464,0.81139,0.74003,0.79229,0.76464,0.95121,0.95121,0,13.579,0.03923,1.30444,0.49921,0.2923,0.000176368,0.000176368,0.000176368
103,3657.82,18.4062,0.12679,1.9387,0.87269,0.55328,0.80241,0.75577,0.795,0.76634,0.80241,0.75577,0.795,0.76634,0.95046,0.95046,0,13.4984,0.03878,1.2936,0.50199,0.29502,0.000175072,0.000175072,0.000175072
104,3690.91,18.3088,0.12797,1.93197,0.87745,0.55431,0.80268,0.75351,0.79721,0.76932,0.80268,0.75351,0.79721,0.76932,0.9545,0.9545,0,13.4604,0.03836,1.29233,0.49739,0.29158,0.00017377,0.00017377,0.00017377
105,3724.77,18.359,0.12578,1.92394,0.86637,0.55631,0.80644,0.73609,0.79088,0.76245,0.80644,0.73609,0.79088,0.76245,0.95607,0.95607,0,13.4984,0.03818,1.31582,0.49573,0.30203,0.000172462,0.000172462,0.000172462
106,3758.56,18.2984,0.12851,1.93367,0.86878,0.55521,0.81195,0.74182,0.79636,0.76865,0.81195,0.74182,0.79636,0.76865,0.95286,0.95286,0,13.4354,0.03784,1.28857,0.49987,0.2957,0.000171147,0.000171147,0.000171147
107,3793.53,18.3121,0.12829,1.92912,0.87727,0.55627,0.80086,0.75431,0.79632,0.76912,0.80086,0.75431,0.79632,0.76912,0.95626,0.95626,0,13.4164,0.03767,1.27793,0.49385,0.29365,0.000169827,0.000169827,0.000169827
