epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,train/size_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,acc/color,acc/size,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,val/size_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1419,84.6748,1.19892,231.899,22.5919,8.64011,0,0,0,0,0,0,0,0,0,0,0,72.4483,1.00049,8.83594,7.65284,4.54297,0.0876729,3.08949e-05,3.08949e-05
2,111.171,67.5267,0.9586,7.68068,5.35654,3.09616,0.00361,0.03853,0.00232,0.00072,0.00361,0.03853,0.00232,0.00072,0.70434,0.70434,0,65.2931,0.86431,7.70312,6.29478,3.64631,0.0752042,6.21429e-05,6.21429e-05
3,148.267,59.1963,0.78843,6.53719,4.50956,2.61125,0.01759,0.23181,0.02481,0.01381,0.01759,0.23181,0.02481,0.01381,0.58566,0.58566,0,51.8751,0.57905,6.19336,4.04367,2.57102,0.0627354,9.33828e-05,9.33828e-05
4,184.336,53.2356,0.68138,5.88721,4.11834,2.38028,0.02414,0.27476,0.03236,0.01995,0.02414,0.27476,0.03236,0.01995,0.58165,0.58165,0,46.6582,0.47495,5.46172,3.8485,2.40763,0.0502667,0.000124609,0.000124609
5,221.872,48.3711,0.58376,5.41562,3.81429,2.19561,0.11465,0.13733,0.04822,0.03241,0.11465,0.13733,0.04822,0.03241,0.57495,0.57495,0,41.621,0.38285,4.8793,3.34956,2.15594,0.0377979,0.000155814,0.000155814
6,256.855,44.1628,0.51079,5.05028,3.57841,2.0293,0.1353,0.12475,0.05943,0.04264,0.1353,0.12475,0.05943,0.04264,0.56646,0.56646,0,37.3441,0.31862,4.77578,3.39206,2.11948,0.025329,0.000186994,0.000186994
7,293.437,41.0271,0.46163,4.78671,3.40306,1.89078,0.27338,0.15474,0.0853,0.06664,0.27338,0.15474,0.0853,0.06664,0.56573,0.56573,0,34.1472,0.27439,4.3957,3.08458,1.72881,0.0128602,0.000218141,0.000218141
8,331.397,38.6618,0.42586,4.60775,3.28828,1.78255,0.35399,0.17494,0.10666,0.08399,0.35399,0.17494,0.10666,0.08399,0.59223,0.59223,0,32.4356,0.24983,4.0041,2.84918,1.47967,0.000391295,0.00024925,0.00024925
9,368.401,36.7421,0.3937,4.45354,3.19239,1.70611,0.36573,0.18277,0.13366,0.11223,0.36573,0.18277,0.13366,0.11223,0.57398,0.57398,0,29.8335,0.21647,3.79922,2.7637,1.36609,0.000249484,0.000249484,0.000249484
10,405.839,35.3256,0.37052,4.31951,3.0934,1.63557,0.37401,0.19917,0.14568,0.12269,0.37401,0.19917,0.14568,0.12269,0.58716,0.58716,0,28.6797,0.20613,3.76562,2.6784,1.30446,0.000249346,0.000249346,0.000249346
