epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,lr/pg0,lr/pg1,lr/pg2
30,639.95,3.21531,0.29151,0.68049,0.16471,0.62591,0.7217,0.74211,0.67689,0.62591,0.7217,0.74211,0.67689,1,1.33229,0.06169,0.43375,0.02024,0.000245831,0.000245831,0.000245831
31,660.612,3.13786,0.27501,0.66922,0.1428,0.64887,0.74776,0.76765,0.72159,0.64887,0.74776,0.76765,0.72159,1,1.214,0.0541,0.40428,0.01133,0.00024554,0.00024554,0.00024554
32,681.01,2.96414,0.25703,0.6448,0.10952,0.65672,0.69016,0.74734,0.70104,0.65672,0.69016,0.74734,0.70104,1,1.24611,0.05968,0.49754,0.0141,0.00024524,0.00024524,0.00024524
33,702.662,3.07442,0.27062,0.66649,0.11468,0.66718,0.66601,0.74163,0.69668,0.66718,0.66601,0.74163,0.69668,1,1.37008,0.09382,0.53909,0.02123,0.00024493,0.00024493,0.00024493
34,725.558,2.95113,0.24614,0.63093,0.14899,0.73417,0.73257,0.81595,0.76039,0.73417,0.73257,0.81595,0.76039,1,1.20958,0.05755,0.37799,0.0153,0.000244611,0.000244611,0.000244611
35,746.886,2.89205,0.24098,0.6123,0.10875,0.74591,0.73251,0.82316,0.77578,0.74591,0.73251,0.82316,0.77578,0.99623,1.10591,0.04723,0.35538,0.02223,0.000244282,0.000244282,0.000244282
36,767.58,2.92993,0.25438,0.60722,0.14916,0.70962,0.78401,0.81556,0.77468,0.70962,0.78401,0.81556,0.77468,0.99827,1.09412,0.04527,0.35481,0.01889,0.000243943,0.000243943,0.000243943
37,789.046,2.85957,0.24855,0.57764,0.12596,0.72729,0.78401,0.82947,0.79022,0.72729,0.78401,0.82947,0.79022,1,1.11303,0.04012,0.3407,0.01441,0.000243595,0.000243595,0.000243595
38,810.318,2.73471,0.23069,0.56171,0.10025,0.76545,0.81727,0.84112,0.80862,0.76545,0.81727,0.84112,0.80862,1,1.05447,0.03979,0.31052,0.01599,0.000243238,0.000243238,0.000243238
39,831.004,2.87199,0.24212,0.59094,0.12542,0.74811,0.78859,0.85633,0.82081,0.74811,0.78859,0.85633,0.82081,1,1.05697,0.03943,0.30911,0.01205,0.000242871,0.000242871,0.000242871
40,851.05,2.71649,0.2235,0.55804,0.15161,0.68419,0.78812,0.84159,0.80112,0.68419,0.78812,0.84159,0.80112,0.9983,1.09622,0.03648,0.33029,0.01975,0.000242495,0.000242495,0.000242495
41,871.775,2.77413,0.22389,0.56994,0.09034,0.75425,0.76892,0.8513,0.81622,0.75425,0.76892,0.8513,0.81622,1,1.03348,0.03908,0.36076,0.02823,0.000242109,0.000242109,0.000242109
42,892.173,2.66259,0.21578,0.55299,0.12345,0.79259,0.75973,0.8635,0.82929,0.79259,0.75973,0.8635,0.82929,1,0.99868,0.03892,0.33833,0.01675,0.000241714,0.000241714,0.000241714
43,913.389,2.60385,0.20626,0.49989,0.11306,0.78818,0.77763,0.86909,0.84396,0.78818,0.77763,0.86909,0.84396,1,0.94635,0.0345,0.29244,0.01681,0.00024131,0.00024131,0.00024131
44,934.013,2.56457,0.20245,0.5044,0.08021,0.80049,0.78787,0.87999,0.84614,0.80049,0.78787,0.87999,0.84614,0.99798,0.94744,0.03538,0.30518,0.02351,0.000240896,0.000240896,0.000240896
45,954.397,2.48012,0.19144,0.50485,0.08958,0.79452,0.8326,0.89523,0.86558,0.79452,0.8326,0.89523,0.86558,1,0.90643,0.03545,0.28488,0.01678,0.000240474,0.000240474,0.000240474
46,974.767,2.54538,0.20816,0.50736,0.11333,0.78468,0.81829,0.88416,0.85177,0.78468,0.81829,0.88416,0.85177,1,0.89107,0.03098,0.28811,0.02339,0.000240042,0.000240042,0.000240042
47,994.432,2.4314,0.18645,0.44498,0.07962,0.7793,0.82791,0.89485,0.869,0.7793,0.82791,0.89485,0.869,0.99806,0.90141,0.03008,0.25616,0.01331,0.0002396,0.0002396,0.0002396
48,1014.96,2.54586,0.204,0.47159,0.08699,0.78186,0.86355,0.89693,0.86439,0.78186,0.86355,0.89693,0.86439,1,0.96487,0.03341,0.28191,0.01877,0.00023915,0.00023915,0.00023915
49,1035.82,2.48844,0.20285,0.48267,0.11166,0.80219,0.82603,0.90037,0.86278,0.80219,0.82603,0.90037,0.86278,1,0.92504,0.0304,0.29903,0.0163,0.000238691,0.000238691,0.000238691
50,1056.07,2.36624,0.17561,0.47573,0.08207,0.77751,0.79147,0.86567,0.84269,0.77751,0.79147,0.86567,0.84269,1,0.84976,0.02904,0.33771,0.01686,0.000238222,0.000238222,0.000238222
51,1077.28,2.41041,0.18623,0.43878,0.10474,0.82668,0.84411,0.9109,0.88294,0.82668,0.84411,0.9109,0.88294,0.998,0.88985,0.02339,0.26218,0.01925,0.000237745,0.000237745,0.000237745
52,1098.57,2.32077,0.17307,0.43809,0.09434,0.76649,0.85043,0.8902,0.86024,0.76649,0.85043,0.8902,0.86024,1,0.85335,0.02372,0.2861,0.01465,0.000237258,0.000237258,0.000237258
53,1118.22,2.32469,0.17394,0.42863,0.09926,0.83528,0.87844,0.93369,0.90763,0.83528,0.87844,0.93369,0.90763,1,0.9396,0.02296,0.22538,0.01859,0.000236763,0.000236763,0.000236763
54,1138.59,2.40458,0.18486,0.41608,0.08801,0.82267,0.86819,0.92659,0.90393,0.82267,0.86819,0.92659,0.90393,1,0.82494,0.02309,0.24312,0.02127,0.000236259,0.000236259,0.000236259
55,1159.02,2.39725,0.19132,0.43641,0.11855,0.81233,0.83887,0.89818,0.86619,0.81233,0.83887,0.89818,0.86619,0.99539,0.92619,0.03557,0.3006,0.03236,0.000235746,0.000235746,0.000235746
56,1179.52,2.2683,0.17141,0.43362,0.09225,0.83315,0.90166,0.93525,0.90724,0.83315,0.90166,0.93525,0.90724,1,0.80561,0.02348,0.23503,0.01921,0.000235224,0.000235224,0.000235224
57,1201.18,2.23681,0.16447,0.40838,0.08105,0.82995,0.84806,0.93061,0.90669,0.82995,0.84806,0.93061,0.90669,0.99772,0.829,0.02095,0.23398,0.01979,0.000234693,0.000234693,0.000234693
58,1223.49,2.27803,0.17363,0.41465,0.09792,0.79023,0.88134,0.9235,0.89737,0.79023,0.88134,0.9235,0.89737,0.99798,0.83354,0.02162,0.24005,0.02324,0.000234153,0.000234153,0.000234153
59,1244.72,2.2875,0.16501,0.3941,0.07653,0.83513,0.88306,0.92074,0.89522,0.83513,0.88306,0.92074,0.89522,0.99546,0.80617,0.02002,0.24429,0.01952,0.000233605,0.000233605,0.000233605
60,1265.34,2.35597,0.17653,0.43726,0.09954,0.86021,0.90129,0.93995,0.91796,0.86021,0.90129,0.93995,0.91796,1,0.79137,0.01916,0.2085,0.02066,0.000233048,0.000233048,0.000233048
61,1285.9,2.08974,0.14544,0.38986,0.06645,0.80397,0.90771,0.93669,0.91554,0.80397,0.90771,0.93669,0.91554,0.99574,0.74881,0.02168,0.21421,0.02421,0.000232483,0.000232483,0.000232483
62,1306.04,2.23453,0.16511,0.41154,0.06959,0.83659,0.88103,0.93491,0.90984,0.83659,0.88103,0.93491,0.90984,0.99154,0.75666,0.01856,0.21107,0.04813,0.000231909,0.000231909,0.000231909
63,1326.18,2.23052,0.17198,0.40061,0.11371,0.86118,0.90036,0.94055,0.9156,0.86118,0.90036,0.94055,0.9156,1,0.76567,0.02114,0.21061,0.022,0.000231327,0.000231327,0.000231327
64,1346.23,2.13892,0.14815,0.38053,0.06827,0.88396,0.89468,0.94292,0.92507,0.88396,0.89468,0.94292,0.92507,0.99532,0.75848,0.01769,0.20333,0.02295,0.000230736,0.000230736,0.000230736
65,1366.85,2.14887,0.15389,0.36571,0.07131,0.86337,0.8906,0.93781,0.91364,0.86337,0.8906,0.93781,0.91364,0.99526,0.74273,0.02027,0.20691,0.02595,0.000230136,0.000230136,0.000230136
66,1387.07,2.11669,0.15126,0.36594,0.06421,0.86018,0.90045,0.93226,0.9155,0.86018,0.90045,0.93226,0.9155,0.99119,0.80125,0.0175,0.21404,0.03962,0.000229528,0.000229528,0.000229528
67,1407.63,2.13096,0.15603,0.37623,0.07012,0.82103,0.89818,0.93491,0.91595,0.82103,0.89818,0.93491,0.91595,1,0.7387,0.01596,0.2226,0.01788,0.000228912,0.000228912,0.000228912
68,1429.63,2.09078,0.15407,0.36489,0.05871,0.86193,0.92441,0.94901,0.93293,0.86193,0.92441,0.94901,0.93293,1,0.72774,0.01672,0.16872,0.01902,0.000228288,0.000228288,0.000228288
69,1450.48,2.12027,0.16152,0.35414,0.06128,0.82662,0.93624,0.94822,0.92543,0.82662,0.93624,0.94822,0.92543,0.99779,0.7549,0.01841,0.18245,0.01503,0.000227655,0.000227655,0.000227655
70,1472.76,2.09979,0.15103,0.36979,0.08147,0.82185,0.85242,0.92001,0.90308,0.82185,0.85242,0.92001,0.90308,0.99542,0.74495,0.01795,0.25477,0.02177,0.000227015,0.000227015,0.000227015
